citing_country,AE,AF,AR,AT,AU,BD,BE,BG,BH,BI,BO,BR,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DZ,EC,EE,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KR,KZ,LB,LU,LV,MA,MM,MO,MT,MX,MY,NA,NE,NG,NL,NO,NZ,PH,PK,PL,PS,PT,PY,QA,RO,RU,SA,SE,SG,SI,SK,SV,TJ,TN,TR,TW,UA,UG,US,UZ,ZA,ZM,AM,CR,CU,GH,PE,TT,UY,BA,BY,ET,GM,GN,LT,MC,MG,ML,MN,MW,NC,NP,OM,PG,RS,SL,SS,TH,VN,AG,BW,CM,DO,KG,KH,KW,LC,LK,MK,MU,RW,SN,SY,TZ,YE,ZW,AZ,GE,JM,LS,BN,HN,LI,PR,VE,AL,BJ,MV,PA,RE,SO,BB,BM,FJ,GP,MD,ME,VA,GU,FK,KY,MZ,SZ,XK,BS,NI,BF,GT,CG,CI,SM,TD,VI,PF,TG,GA,GF,GL,MR,MS,VG,SD,LY,KP,GI,MQ,CD,KN,ST,BT,DM
ME,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,4,0,0,0,1,0,0,0,2,4,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MK,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML,0,0,0,0,0,0,2,0,0,0,0,0,3,3,0,3,0,0,1,5,0,0,0,0,0,0,0,7,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,0,0,0,1,4,0,5,0,0,0,0,0,9,0,0,12,0,0,0,18,2,0,0,0,0,7,2,6,15,1,0,0,0,0,3,2,3,0,0,0,13,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,9,0,0,11,27,1,11,1,1,0,0,2,42,23,0,90,0,2,11,62,5,0,0,0,2,11,5,19,118,2,15,0,2,3,11,12,13,1,4,0,21,2,13,0,9,0,1,0,2,0,0,12,2,2,6,0,0,4,22,14,6,2,7,4,0,3,0,6,4,15,2,15,7,0,0,0,0,0,1,5,0,0,220,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,1,0,2,7,1,1,0,0,0,0,0,6,0,0,2,0,0,2,4,5,0,0,0,0,7,1,2,26,3,0,0,0,0,0,2,2,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MW,0,0,1,0,2,0,0,0,0,0,0,0,5,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,43,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MX,1,0,10,17,45,2,16,0,0,0,3,23,48,25,13,33,12,2,6,87,12,0,4,1,3,77,14,37,155,14,4,3,2,7,11,9,8,0,1,0,63,2,21,1,6,0,0,2,1,1,0,0,0,68,6,0,0,1,37,6,5,0,2,8,0,6,0,3,3,7,1,15,10,3,5,0,0,0,4,2,0,0,431,0,6,0,0,5,9,2,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MY,9,0,2,26,59,12,10,1,0,1,1,8,59,22,5,141,2,5,5,87,17,4,1,4,6,33,20,43,193,30,24,2,4,13,17,12,38,2,41,0,77,7,20,2,27,0,3,1,1,1,0,3,1,3,93,15,0,13,37,23,13,2,17,8,0,11,0,4,7,11,19,25,23,2,0,0,0,0,16,37,0,1,447,0,20,1,0,0,2,6,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,2,0,1,2,7,0,0,1,0,0,0,4,0,3,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,2,0,0,1,17,1,2,0,0,0,0,0,14,3,2,4,0,0,0,11,17,0,0,0,0,3,1,3,30,3,1,2,0,0,2,1,14,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,18,45,0,0,2,4,5,0,4,1,0,1,0,1,1,0,2,2,3,0,0,0,0,1,0,0,0,0,58,1,45,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NG,2,0,2,8,46,5,2,0,2,0,0,7,57,7,3,43,2,2,0,48,6,0,1,17,3,31,11,12,114,7,5,3,5,6,10,5,41,2,13,0,27,7,14,3,21,0,0,1,1,2,0,1,1,1,26,1,0,125,30,11,11,3,27,12,1,9,0,3,3,7,7,7,6,5,2,0,0,3,8,13,1,2,319,0,50,2,0,0,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,7,0,3,0,0,5,2,1,4,1,0,0,0,0,0,2,2,0,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,19,0,11,169,451,3,237,14,2,2,1,98,509,302,21,239,9,21,88,1077,191,2,12,22,7,274,158,388,2065,90,54,11,27,21,172,144,76,2,13,7,479,10,184,4,92,2,3,27,8,6,2,3,22,32,26,1,1,7,1686,110,77,3,12,47,0,90,0,16,18,42,15,270,68,28,12,0,0,5,54,34,7,2,4514,1,46,0,0,4,1,4,7,0,1,1,3,1,0,0,10,0,0,0,10,0,0,2,2,0,9,1,10,8,7,0,1,0,0,0,0,0,0,2,5,0,0,1,2,1,0,0,0,0,1,0,0,0,2,2,3,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
NO,7,0,2,53,103,0,43,5,1,0,0,21,150,79,4,58,0,3,42,253,50,1,3,4,2,74,40,93,509,28,19,2,13,3,40,58,13,1,2,3,114,2,60,2,11,0,2,3,3,3,1,1,1,12,19,0,0,2,169,230,33,2,6,22,1,35,0,6,2,15,7,103,20,13,1,0,1,0,4,8,1,2,1097,1,17,0,0,1,0,3,2,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,1,0,2,0,1,1,4,0,0,2,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,2,0,0,0,10,0,0,0,0,0,3,0,2,5,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,1,0,3,11,66,1,7,1,1,0,0,5,77,22,1,36,2,3,5,99,9,0,1,3,3,18,12,35,187,11,14,0,2,2,12,19,14,0,3,2,56,0,13,1,13,0,0,1,1,2,0,1,1,4,2,0,0,1,45,9,122,4,2,4,0,7,0,2,3,6,6,13,15,4,1,0,0,2,10,3,0,0,517,0,4,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE,1,0,3,3,5,0,1,0,0,0,1,6,7,3,1,11,4,0,3,13,2,0,3,1,0,29,1,6,21,10,1,2,0,0,1,8,4,0,1,0,3,0,5,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,6,2,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,64,0,0,0,0,1,2,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,1,0,1,4,16,2,3,1,0,0,0,1,8,1,0,23,3,1,0,13,3,2,0,1,2,9,2,11,16,5,1,0,4,4,2,4,11,0,0,0,15,0,2,2,3,2,0,0,0,0,0,1,2,0,5,0,0,5,6,0,5,13,3,2,1,1,0,1,2,1,0,6,3,1,0,0,0,0,3,2,0,1,73,0,6,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PK,11,1,2,10,55,7,5,0,0,0,0,7,40,18,5,75,1,1,17,73,9,2,1,2,5,42,23,16,133,11,19,1,4,3,12,19,51,0,15,1,34,4,25,3,15,0,1,0,1,1,0,3,0,3,22,0,0,18,24,13,11,1,116,8,2,11,0,4,2,9,17,24,8,2,1,0,0,0,18,15,0,0,446,0,24,2,0,2,1,4,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,2,2,4,0,1,0,0,0,0,7,0,2,2,0,0,0,0,4,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,8,0,3,21,77,3,54,3,0,0,1,13,87,40,4,61,1,6,40,161,20,0,0,8,5,46,31,68,320,21,11,2,5,2,30,40,15,0,6,3,109,1,19,0,11,0,0,3,2,0,0,3,1,9,5,0,0,2,119,21,16,0,5,181,0,13,0,2,2,13,3,51,11,9,4,0,0,0,7,8,2,0,663,0,7,0,0,0,0,0,0,0,0,2,1,1,0,0,6,0,0,0,0,1,0,0,1,0,1,0,2,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,2,1,0,0,0,0,0,0,11,5,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS,8,0,0,0,5,0,2,0,1,2,0,0,6,3,0,2,0,1,0,4,1,2,0,0,1,5,2,10,21,5,0,0,0,0,2,1,5,0,0,0,6,0,2,0,4,0,0,0,0,1,0,1,0,1,1,0,0,0,6,0,1,0,2,0,2,1,0,5,0,4,4,0,0,0,0,0,0,1,1,2,0,0,69,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,2,0,2,33,71,3,40,4,0,0,0,56,93,53,6,67,3,6,38,227,20,2,1,5,2,117,29,100,363,34,8,3,15,5,36,33,38,5,4,2,168,8,55,2,17,0,1,3,1,3,0,1,2,10,10,1,1,3,128,32,22,1,2,11,0,192,0,2,6,16,7,58,8,7,3,0,0,1,9,9,2,2,837,0,11,1,0,0,2,3,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PY,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QA,11,0,1,4,19,0,10,0,1,1,1,6,27,11,2,30,1,0,4,71,6,1,1,2,6,26,11,23,108,7,8,0,1,2,8,11,17,2,4,0,27,1,8,1,9,0,3,0,0,3,0,1,0,5,6,1,0,0,28,8,9,1,0,9,2,2,1,44,0,3,4,20,10,1,0,1,0,5,38,11,0,1,328,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RE,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,0,0,1,10,26,0,16,1,0,0,0,3,30,11,3,16,0,2,15,64,14,0,0,6,0,23,10,23,116,12,5,0,1,1,7,10,4,1,0,0,41,0,13,0,10,0,0,1,0,1,0,1,1,4,6,0,0,0,47,5,14,0,0,4,0,14,0,0,69,8,0,19,8,4,3,0,0,0,5,3,1,0,241,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS,0,0,0,3,16,1,8,0,0,0,0,3,31,11,0,17,1,0,9,70,6,0,1,2,1,27,3,29,69,3,3,5,5,1,14,8,9,0,2,0,27,0,6,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,35,5,5,1,2,9,0,1,0,0,4,7,1,6,8,5,0,0,0,1,4,6,1,0,183,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,81,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU,2,0,0,17,44,1,17,4,0,0,0,22,67,25,4,51,2,1,24,123,23,0,0,3,3,37,25,46,191,5,7,3,4,3,20,26,10,0,36,3,61,1,17,0,10,0,0,1,4,0,1,0,1,4,4,0,0,0,56,13,6,1,4,11,0,11,0,6,8,97,0,25,5,3,3,0,1,1,14,6,4,1,467,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RW,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,37,0,1,0,2,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,8,0,2,3,18,0,2,2,1,2,1,6,24,25,3,38,2,0,7,68,9,5,1,1,6,16,8,21,87,9,8,0,0,5,6,14,22,0,1,0,45,10,16,1,8,0,3,0,1,5,0,1,0,3,3,0,0,0,15,7,4,0,14,5,2,7,1,15,1,8,24,12,3,2,2,1,0,0,7,4,0,0,228,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,4,0,7,70,157,3,69,9,0,1,0,32,235,106,3,132,0,5,66,460,93,3,3,10,5,115,93,147,810,43,28,8,21,4,54,81,43,2,8,3,227,0,98,5,32,0,1,3,6,2,0,2,3,25,5,0,0,2,268,93,40,3,6,29,1,21,0,8,7,26,2,537,28,21,6,0,0,1,35,25,1,2,1928,0,19,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,1,0,0,2,1,0,3,0,7,9,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
