citing_country,AE,AF,AR,AT,AU,BD,BE,BH,BR,CA,CH,CL,CN,CO,CZ,DE,DK,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IS,IT,JO,JP,KR,LB,LU,MO,MT,MX,MY,NL,NO,NZ,PH,PK,PL,PS,PT,QA,RO,RU,SA,SE,SG,TJ,TN,TW,US,ZA,CR,EE,BY,CY,DZ,EC,HR,LT,LV,MA,MC,ML,MN,PE,SI,SK,TR,UA,BA,GH,IR,KH,KW,LK,OM,RS,UY,UZ,VN,ZW,AZ,BG,BN,KE,MK,NP,NG,TH,BO,VE,SO,GP,IQ,MD,ME,PR,SS,TZ,BI,CU,DO,GU,SY,CM,ET,FJ,FK,GE,KY,KZ,LI,MZ,NA,PG,RW,TT,XK,YE,MU,BS,AM,KG,UG,CG,SL,MM,SM,VI,PF,TG,GT,JM,MR,PA,ZM,VA,MS,LY,VG,KP,PY,MQ,AL,SD,SN,RE,BW,BM,BB
SE,0,0,0,11,18,0,7,0,3,28,14,0,10,0,2,34,10,0,23,36,21,132,23,1,1,0,13,8,3,1,22,0,13,3,0,1,0,0,2,0,29,10,2,1,0,0,0,1,0,0,2,0,57,1,0,1,1,142,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,0,0,0,5,7,0,1,0,1,11,0,0,8,0,2,15,4,0,4,2,4,30,5,0,0,1,0,4,0,0,5,0,2,3,0,0,0,0,2,1,4,0,0,1,0,0,0,0,0,0,0,0,1,11,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SI,3,0,1,0,5,2,1,0,2,5,0,1,6,0,2,4,4,2,3,2,2,16,3,0,4,1,2,1,2,1,10,0,1,1,0,0,0,1,0,3,5,1,0,0,0,1,0,10,1,0,0,1,0,0,0,0,2,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,4,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK,0,0,1,5,0,0,2,0,1,2,7,0,13,0,9,8,0,0,9,1,1,7,7,0,1,0,0,2,1,0,9,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,1,0,0,2,0,0,0,2,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,4,1,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,1,0,0,0,10,1,2,0,1,5,2,0,24,1,2,9,4,0,8,2,8,44,4,6,0,3,2,6,2,0,13,0,6,4,1,0,2,0,0,1,8,3,4,0,0,0,0,2,1,3,0,1,3,2,0,0,6,52,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,2,0,1,0,4,0,1,2,0,5,6,1,2,0,2,5,0,1,2,1,20,7,0,0,1,0,0,0,0,0,7,1,3,0,0,0,0,0,0,2,4,0,0,1,0,1,0,0,1,0,0,5,0,1,0,11,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR,2,0,2,12,16,0,17,0,6,22,22,1,32,1,1,48,9,5,33,4,19,95,22,6,2,1,9,10,7,0,101,2,5,10,2,1,0,2,5,6,25,6,4,0,4,12,1,16,6,2,1,4,5,4,0,0,4,197,5,0,0,0,5,0,0,3,2,0,4,0,0,0,1,2,2,120,1,1,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TW,3,0,0,4,27,0,4,0,2,15,7,2,63,1,5,26,5,1,23,6,16,83,14,13,2,3,3,7,4,0,22,0,15,9,0,0,3,0,0,8,17,8,13,1,2,2,0,9,1,5,6,5,4,3,0,0,83,166,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,14,2,0,1,72,1,2,0,0,1,0,0,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TZ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UA,0,0,0,2,6,0,0,1,1,5,1,0,11,0,0,4,0,3,0,1,2,9,2,1,0,1,0,3,2,0,2,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,2,2,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,12,0,5,86,290,3,130,1,36,364,137,10,265,4,33,505,56,12,138,72,326,999,121,52,16,9,73,119,68,7,282,10,108,52,1,7,2,1,21,14,256,50,38,5,16,48,0,24,4,8,33,13,65,46,1,3,40,3263,24,0,5,0,16,2,2,1,0,0,3,0,1,0,15,9,3,32,2,1,21,16,2,1,3,1,3,2,0,5,0,0,2,0,1,0,1,2,7,2,0,2,0,5,0,0,4,4,2,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
UZ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VN,0,0,0,3,9,0,2,0,2,4,2,3,92,0,1,12,0,1,6,5,11,23,0,5,0,0,4,1,1,0,7,2,5,8,0,0,0,0,0,2,8,2,0,0,1,0,0,15,0,4,6,5,3,3,0,0,2,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,196,0,2,0,1,2,0,0,16,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XK,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,10,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZA,0,0,0,3,3,1,1,0,3,9,7,0,14,0,2,30,1,0,17,1,12,34,21,1,2,0,2,0,0,0,47,1,6,6,0,1,0,0,0,3,7,2,3,0,1,4,0,5,0,2,2,0,5,3,0,0,4,72,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
